badge_id,location,timestamp_local
92,ny,2023-01-02 08:02:21
1,ny,2023-01-02 08:12:46
91,ny,2023-01-02 08:34:33
19,ny,2023-01-02 08:38:17
50,ny,2023-01-02 08:40:05
96,ny,2023-01-02 08:46:09
70,ny,2023-01-02 08:52:07
81,ny,2023-01-02 09:11:02
65,ny,2023-01-02 09:13:51
11,ny,2023-01-02 09:15:17
2,ny,2023-01-02 09:15:22
84,ny,2023-01-02 09:17:36
68,ny,2023-01-02 09:25:56
54,ny,2023-01-02 09:31:52
98,ny,2023-01-02 09:40:39
60,ny,2023-01-02 09:43:33
39,ny,2023-01-02 09:48:13
67,ny,2023-01-02 09:51:08
72,ny,2023-01-02 09:52:32
18,ny,2023-01-02 09:57:15
94,ny,2023-01-03 08:02:03
50,ny,2023-01-03 08:05:01
96,ny,2023-01-03 08:09:24
9,ny,2023-01-03 08:10:39
7,ny,2023-01-03 08:15:16
81,ny,2023-01-03 08:17:03
34,ny,2023-01-03 08:21:26
6,ny,2023-01-03 08:22:32
97,ny,2023-01-03 08:23:58
84,ny,2023-01-03 08:28:02
86,ny,2023-01-03 08:31:16
78,ny,2023-01-03 08:32:21
17,ny,2023-01-03 08:36:22
11,ny,2023-01-03 08:38:03
63,ny,2023-01-03 08:38:56
55,ny,2023-01-03 08:44:29
69,ny,2023-01-03 08:46:00
99,ny,2023-01-03 08:50:28
47,ny,2023-01-03 08:54:08
36,ny,2023-01-03 08:54:57
38,ny,2023-01-03 09:05:22
19,ny,2023-01-03 09:06:04
60,ny,2023-01-03 09:06:56
54,ny,2023-01-03 09:11:25
67,ny,2023-01-03 09:11:46
30,ny,2023-01-03 09:12:59
0,ny,2023-01-03 09:15:36
39,ny,2023-01-03 09:16:57
65,ny,2023-01-03 09:24:44
82,ny,2023-01-03 09:29:59
68,ny,2023-01-03 09:34:25
70,ny,2023-01-03 09:37:54
87,ny,2023-01-03 09:40:06
1,ny,2023-01-03 09:42:24
49,ny,2023-01-03 09:45:23
64,ny,2023-01-03 09:47:20
4,ny,2023-01-03 09:48:50
88,ny,2023-01-03 09:55:22
56,ny,2023-01-03 09:56:28
61,ny,2023-01-03 19:49:35
94,ny,2023-01-04 08:01:13
9,ny,2023-01-04 08:02:01
2,ny,2023-01-04 08:04:42
